Region,Year,Deaths,DeathsMale,DeathsFemale,NormalizedDeaths
Europe,1997,8229.808,4149.1359999999995,4080.6769999999997,1.2734905689865783
Europe,1998,8180.780999999999,4117.295,4063.489,1.2659040709630878
Europe,1999,8390.202,4244.075000000001,4146.134000000001,1.2983101329815137
Europe,2000,8392.859999999999,4276.639999999999,4116.214,1.2987214351567729
Europe,2001,8355.477999999997,4268.612,4086.861,1.2929368986949432
Europe,2002,8511.586000000001,4349.856,4161.726000000001,1.3170932418008046
Europe,2003,8646.257999999998,4407.741000000001,4238.525,1.3379325520139413
Europe,2004,8372.127999999999,4304.113,4068.0200000000004,1.2955133400862404
Europe,2005,8485.201,4355.973,4129.2210000000005,1.3130103945870282
Europe,2006,8227.783,4201.862,4025.9150000000004,1.2731772180065555
Europe,2007,8179.020999999999,4169.383,4009.639,1.2656317264076113
Europe,2008,8187.007999999999,4159.222,4027.7870000000003,1.2668676445693103
Europe,2009,8090.743000000001,4094.1359999999995,3996.612,1.2519714805733229
Europe,2010,8120.009,4092.7889999999993,4027.22,1.2565001372554665
Europe,2011,7950.6539999999995,4005.694,3944.957000000001,1.2302939371459716
Europe,2012,8070.125,4038.647000000001,4031.4739999999997,1.2487810260024061
Europe,2013,8025.681999999999,4012.09,4013.5989999999997,1.2419038617529519
Europe,2014,7947.454999999999,3994.0460000000003,3953.401,1.229798919968148
Europe,2015,8169.151999999999,4080.793,4088.3569999999995,1.2641045852610222
Europe,2016,8000.5109999999995,4016.187,3984.3250000000003,1.2380088703859649
Europe,2017,8066.997999999999,4028.885,4038.1099999999997,1.248297150192761
Europe,2018,8102.904,4064.1590000000006,4038.752,1.25385328860693
Europe,2019,8010.892,4021.6920000000005,3989.2030000000004,1.2396152390396018
Europe,2020,9106.759000000002,4609.307,4497.451000000001,1.4091910407306762
Europe,2021,9644.438,4885.170000000001,4759.271000000001,1.4923921476875008
Europe,2022,9469.848,4759.669999999999,4710.180000000001,1.4653758772666883
Europe,2023,8245.526000000002,4101.1990000000005,4144.331,1.2759227915564526
Oceania,1950,148.55399999999995,83.674,64.88299999999997,1.0
Oceania,1951,156.714,88.041,68.67399999999998,1.054929520578376
Oceania,1952,151.67899999999997,85.328,66.351,1.0210361215450277
Oceania,1953,149.274,83.86099999999999,65.41600000000001,1.0048467224039748
Oceania,1954,150.84299999999996,84.764,66.082,1.015408538309302
Oceania,1955,150.93600000000004,84.85000000000001,66.086,1.0160345732864824
Oceania,1956,155.211,86.981,68.23000000000002,1.0448119875600796
Oceania,1957,154.75000000000003,86.832,67.918,1.0417087389097572
Oceania,1958,152.63899999999998,85.50700000000002,67.13100000000001,1.0274984180836602
Oceania,1959,158.72100000000003,89.068,69.65600000000002,1.0684397592794546
Oceania,1960,157.584,88.25000000000001,69.335,1.0607859768165115
Oceania,1961,158.841,89.31099999999999,69.53000000000002,1.0692475463467834
Oceania,1962,163.32700000000003,91.772,71.55700000000002,1.0994453195471012
Oceania,1963,164.66,92.39700000000002,72.258,1.108418487553348
Oceania,1964,170.758,95.719,75.04100000000003,1.1494675336914528
Oceania,1965,169.85300000000004,95.22299999999997,74.629,1.143375472892013
Oceania,1966,174.49799999999996,97.537,76.96200000000002,1.1746435639565411
Oceania,1967,171.941,96.58,75.363,1.1574309678635384
Oceania,1968,179.08100000000002,100.501,78.57900000000001,1.205494298369617
Oceania,1969,175.92499999999998,98.85199999999999,77.07100000000001,1.1842494984988627
Oceania,1970,182.289,101.798,80.49200000000002,1.2270891393028802
Oceania,1971,178.44000000000003,99.601,78.839,1.201179369118301
Oceania,1972,179.411,100.152,79.26100000000001,1.2077157128047717
Oceania,1973,179.516,100.70200000000001,78.81400000000001,1.2084225264886845
Oceania,1974,183.71599999999998,102.654,81.06300000000002,1.2366950738452014
Oceania,1975,176.72299999999998,99.16999999999999,77.555,1.1896212824966008
Oceania,1976,180.551,101.08700000000002,79.462,1.2153896899443977
Oceania,1977,176.52999999999994,98.87100000000002,77.66,1.1883220916299797
Oceania,1978,175.225,98.33199999999998,76.89300000000001,1.1795374072727767
Oceania,1979,173.905,97.78500000000003,76.119,1.1706517495321571
Oceania,1980,176.65299999999996,98.99900000000002,77.64699999999998,1.1891500733739921
Oceania,1981,176.62500000000003,99.19800000000002,77.42400000000002,1.188961589724949
Oceania,1982,181.82500000000002,101.61399999999999,80.209,1.2239656959758747
Oceania,1983,178.72600000000003,99.60900000000002,79.11800000000001,1.203104594962102
Oceania,1984,181.48999999999998,100.946,80.54900000000002,1.2217106237462474
Oceania,1985,188.38100000000006,103.75800000000001,84.62500000000001,1.2680977960876187
Oceania,1986,185.36499999999998,102.766,82.59700000000001,1.2477954144620815
Oceania,1987,189.99800000000002,105.10099999999998,84.89800000000001,1.2789827268198775
Oceania,1988,191.37499999999997,106.00200000000001,85.37000000000002,1.2882520834174782
Oceania,1989,197.77500000000003,108.84200000000001,88.936,1.3313340603416945
Oceania,1990,191.205,105.37400000000001,85.82999999999998,1.287107718405429
Oceania,1991,191.5,105.009,86.494,1.2890935282792795
Oceania,1992,197.113,108.219,88.89200000000002,1.3268777683535957
Oceania,1993,195.951,107.129,88.82000000000002,1.3190556969182927
Oceania,1994,202.861,110.68400000000001,92.173,1.3655707688786574
Oceania,1995,202.81199999999998,110.04599999999996,92.76600000000002,1.3652409224928312
Oceania,1996,207.66700000000003,112.53099999999999,95.13800000000002,1.3979226409251861
Oceania,1997,208.50799999999995,112.26800000000001,96.239,1.4035838819553834
Oceania,1998,209.18600000000006,113.096,96.09400000000001,1.4081478788857933
Oceania,1999,211.228,113.52800000000002,97.7,1.4218937221481756
